account_id,customer_id,account_type,account_open_date,branch_id,current_balance,account_status
ACC000001,CUST00532,Current,2024-07-18,BR0029,10760.43,Active
ACC000002,CUST02852,Current,2020-06-15,BR0019,1250.92,Active
ACC000003,CUST01413,Savings,2020-08-24,BR0017,13431.19,Active
ACC000004,CUST00872,Savings,2026-02-23,BR0017,65918.11,Active
ACC000005,CUST00023,Savings,2021-09-05,BR0003,41988.7,Active
ACC000006,CUST00971,Salary,2022-09-19,BR0008,36821.0,Active
ACC000007,CUST00219,Salary,2024-08-01,BR0027,15740.75,Active
ACC000008,CUST00823,Current,2025-05-15,BR0026,4746.5,Active
ACC000009,CUST00738,Current,2025-09-06,BR0011,40878.24,Active
ACC000010,CUST00350,Salary,2024-10-13,BR0001,8093.87,Active
ACC000011,CUST03001,Current,2023-03-28,BR0007,302826.73,Active
ACC000012,CUST00250,Salary,2026-08-01,BR0007,43678.39,Inactive
ACC000013,CUST00499,Current,2022-12-31,BR0006,10973.32,Active
ACC000014,CUST00348,Current,2025-10-04,BR0029,10575.95,Active
ACC000015,CUST00442,Current,2025-12-24,BR0046,19701.83,Active
ACC000016,CUST00653,Savings,2019-12-27,BR0019,16524.47,Active
ACC000017,CUST04348,Current,2022-08-09,BR0032,84136.9,Active
ACC000018,CUST03282,Savings,2025-02-25,BR0008,27548.39,Active
ACC000019,CUST00204,Savings,2026-05-09,BR0037,9154.88,Active
ACC000020,CUST02859,Salary,2023-05-24,BR0034,212889.56,Active
ACC000021,CUST03661,Current,2023-07-27,BR0046,23369.1,Active
ACC000022,CUST02079,Current,2024-07-11,BR0002,55415.11,Active
ACC000023,CUST04598,Savings,2024-02-05,BR0022,10616.11,Active
ACC000024,CUST01642,Salary,2019-12-19,BR0026,34055.23,Active
ACC000025,CUST03601,Current,2023-01-15,BR0028,31994.91,Active
ACC000026,CUST03579,Savings,2026-07-26,BR0006,2281.12,Active
ACC000027,CUST00525,Salary,2026-07-01,BR0016,247293.24,Active
ACC000028,CUST03892,Savings,2024-12-28,BR0003,103649.82,Active
ACC000029,CUST02180,Current,2025-12-24,BR0027,13675.56,Active
ACC000030,CUST02545,Current,2026-04-07,BR0041,5868.04,Active
ACC000031,CUST00556,Savings,2023-04-28,BR0004,33425.49,Active
ACC000032,CUST03979,Salary,2025-05-04,BR0030,24441.49,Active
ACC000033,CUST02067,Savings,2019-11-13,BR0002,33752.26,Active
ACC000034,CUST02152,Salary,2021-06-27,BR0016,27719.54,Active
