merchant_id,merchant_name,merchant_category,city,state
MER00001,Grocery Merchant 1,Grocery,Warangal,Telangana
MER00002,Grocery Merchant 2,Grocery,Coimbatore,Tamil Nadu
MER00003,Entertainment Merchant 3,Entertainment,Surat,Gujarat
MER00004,Utilities Merchant 4,Utilities,Thiruvananthapuram,Kerala
MER00005,Electronics Merchant 5,Electronics,Udaipur,Rajasthan
MER00006,Online Shopping Merchant 6,Online Shopping,Warangal,Telangana
MER00007,Utilities Merchant 7,Utilities,Bengaluru,Karnataka
MER00008,Grocery Merchant 8,Grocery,New Delhi,Delhi
MER00009,Clothing Merchant 9,Clothing,Kanpur,Uttar Pradesh
MER00010,Grocery Merchant 10,Grocery,Jaipur,Rajasthan
MER00011,Electronics Merchant 11,Electronics,Jaipur,Rajasthan
MER00012,Education Merchant 12,Education,Mumbai,Maharashtra
MER00013,Restaurant Merchant 13,Restaurant,Warangal,Telangana
MER00014,Jewelry Merchant 14,Jewelry,Lucknow,Uttar Pradesh
MER00015,Jewelry Merchant 15,Jewelry,Lucknow,Uttar Pradesh
MER00016,Education Merchant 16,Education,Nashik,Maharashtra
MER00017,Clothing Merchant 17,Clothing,Noida,Uttar Pradesh
MER00018,Online Shopping Merchant 18,Online Shopping,New Delhi,Delhi
MER00019,Travel Merchant 19,Travel,New Delhi,Delhi
MER00020,Education Merchant 20,Education,Ahmedabad,Gujarat
MER00021,Healthcare Merchant 21,Healthcare,Thiruvananthapuram,Kerala
MER00022,Entertainment Merchant 22,Entertainment,Mumbai,Maharashtra
MER00023,Restaurant Merchant 23,Restaurant,Noida,Uttar Pradesh
MER00024,Clothing Merchant 24,Clothing,Pune,Maharashtra
MER00025,Healthcare Merchant 25,Healthcare,Kochi,Kerala
MER00026,Healthcare Merchant 26,Healthcare,Pune,Maharashtra
MER00027,Entertainment Merchant 27,Entertainment,Kochi,Kerala
MER00028,Jewelry Merchant 28,Jewelry,Udaipur,Rajasthan
MER00029,Education Merchant 29,Education,Jaipur,Rajasthan
MER00030,Education Merchant 30,Education,Udaipur,Rajasthan
MER00031,Travel Merchant 31,Travel,Pune,Maharashtra
MER00032,Utilities Merchant 32,Utilities,Mumbai,Maharashtra
MER00033,Travel Merchant 33,Travel,Jaipur,Rajasthan
MER00034,Online Shopping Merchant 34,Online Shopping,Kozhikode,Kerala
MER00035,Education Merchant 35,Education,New Delhi,Delhi
MER00036,Entertainment Merchant 36,Entertainment,Kozhikode,Kerala
MER00037,Restaurant Merchant 37,Restaurant,Kochi,Kerala
MER00038,Grocery Merchant 38,Grocery,Surat,Gujarat
MER00039,Electronics Merchant 39,Electronics,Mangaluru,Karnataka
MER00040,Utilities Merchant 40,Utilities,Kochi,Kerala
MER00041,Clothing Merchant 41,Clothing,Kolkata,West Bengal
MER00042,Restaurant Merchant 42,Restaurant,Bengaluru,Karnataka
MER00043,Grocery Merchant 43,Grocery,Madurai,Tamil Nadu
MER00044,Fuel Merchant 44,Fuel,New Delhi,Delhi
MER00045,Travel Merchant 45,Travel,Chennai,Tamil Nadu
MER00046,Healthcare Merchant 46,Healthcare,New Delhi,Delhi
MER00047,Education Merchant 47,Education,Hyderabad,Telangana
MER00048,Clothing Merchant 48,Clothing,Nagpur,Maharashtra
MER00049,Utilities Merchant 49,Utilities,Vadodara,Gujarat
MER00050,Electronics Merchant 50,Electronics,Chennai,Tamil Nadu
MER00051,Grocery Merchant 51,Grocery,Coimbatore,Tamil Nadu
MER00052,Healthcare Merchant 52,Healthcare,Madurai,Tamil Nadu
MER00053,Utilities Merchant 53,Utilities,Vadodara,Gujarat
MER00054,Electronics Merchant 54,Electronics,Warangal,Telangana
MER00055,Grocery Merchant 55,Grocery,Nashik,Maharashtra
MER00056,Online Shopping Merchant 56,Online Shopping,Kolkata,West Bengal
MER00057,Travel Merchant 57,Travel,Kolkata,West Bengal
MER00058,Grocery Merchant 58,Grocery,Hyderabad,Telangana
MER00059,Healthcare Merchant 59,Healthcare,Warangal,Telangana
MER00060,Travel Merchant 60,Travel,Kochi,Kerala
MER00061,Education Merchant 61,Education,New Delhi,Delhi
MER00062,Grocery Merchant 62,Grocery,Udaipur,Rajasthan
MER00063,Electronics Merchant 63,Electronics,Nagpur,Maharashtra
MER00064,Grocery Merchant 64,Grocery,Kanpur,Uttar Pradesh
MER00065,Healthcare Merchant 65,Healthcare,Nashik,Maharashtra
MER00066,Jewelry Merchant 66,Jewelry,New Delhi,Delhi
MER00067,Fuel Merchant 67,Fuel,Jaipur,Rajasthan
MER00068,Travel Merchant 68,Travel,Lucknow,Uttar Pradesh
MER00069,Grocery Merchant 69,Grocery,Hubballi,Karnataka
MER00070,Healthcare Merchant 70,Healthcare,Jaipur,Rajasthan
MER00071,Education Merchant 71,Education,Ahmedabad,Gujarat
MER00072,Education Merchant 72,Education,New Delhi,Delhi
MER00073,Clothing Merchant 73,Clothing,Nagpur,Maharashtra
MER00074,Fuel Merchant 74,Fuel,Kozhikode,Kerala
MER00075,Utilities Merchant 75,Utilities,New Delhi,Delhi
MER00076,Electronics Merchant 76,Electronics,Kozhikode,Kerala
MER00077,Education Merchant 77,Education,Warangal,Telangana
MER00078,Utilities Merchant 78,Utilities,Vadodara,Gujarat
MER00079,Jewelry Merchant 79,Jewelry,Madurai,Tamil Nadu
MER00080,Clothing Merchant 80,Clothing,Thiruvananthapuram,Kerala
